Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,year
446,Josh Richardson,31,MIA,SG,8,0,18.8,1.4,4.8,.289,0.8,2.8,.273,0.6,2.0,.313,.368,0.5,0.5,1.000,0.8,0.8,1.5,1.5,1.0,0.1,1.0,2.1,4.0,,2025
447,Cam Spencer,24,MEM,SG,10,0,12.1,1.3,3.0,.433,0.5,1.6,.313,0.8,1.4,.571,.517,0.9,0.9,1.000,0.5,1.2,1.7,1.6,0.3,0.1,0.5,1.1,4.0,,2025
448,Oscar Tshiebwe,25,UTA,C,4,0,13.5,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,2.0,2.5,.800,1.8,4.0,5.8,0.3,1.3,0.0,0.3,3.0,4.0,,2025
449,TyTy Washington Jr.,23,PHO,PG,7,0,12.4,1.6,4.6,.344,0.4,2.1,.200,1.1,2.4,.471,.391,0.4,0.6,.750,0.6,1.1,1.7,1.7,0.4,0.0,0.3,0.1,4.0,,2025
450,Ousmane Dieng,21,OKC,C,29,0,11.4,1.4,3.6,.404,0.6,2.0,.288,0.9,1.6,.556,.486,0.4,0.6,.688,0.5,1.8,2.3,0.9,0.5,0.2,0.5,0.9,3.9,,2025
451,Andre Jackson Jr.,23,MIL,SG,51,43,17.3,1.6,3.4,.471,0.5,1.4,.386,1.1,2.0,.529,.549,0.2,0.4,.556,1.1,2.1,3.2,1.5,0.6,0.3,1.0,2.1,3.9,,2025
452,Mason Plumlee,34,PHO,C,53,18,17.5,1.5,2.6,.571,0.0,0.0,.000,1.5,2.6,.580,.571,0.9,1.4,.627,1.7,4.6,6.3,1.9,0.5,0.7,0.9,2.2,3.9,,2025
453,Olivier-Maxence Prosper,22,DAL,PF,45,4,10.8,1.4,3.4,.414,0.2,1.0,.205,1.2,2.4,.500,.444,0.9,1.3,.650,0.9,1.5,2.4,0.8,0.5,0.1,0.3,0.5,3.9,,2025
454,Gui Santos,22,GSW,PF,30,1,12.5,1.3,2.8,.470,0.7,1.8,.407,0.6,1.0,.586,.602,0.5,0.8,.696,1.1,1.7,2.8,1.1,0.4,0.1,0.7,1.5,3.9,,2025
455,Dalen Terry,22,CHI,SG,49,1,12.6,1.4,3.1,.454,0.4,1.2,.351,1.0,1.9,.516,.520,0.7,1.0,.673,0.6,0.9,1.5,1.2,0.5,0.2,0.7,1.5,3.9,,2025
